metadata,last_updated,top_gainers,top_losers,most_actively_traded
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'VTIX', 'price': '24.39', 'change_amount': '15.64', 'change_percentage': '178.7429%', 'volume': '331668'}","{'ticker': 'CELG^', 'price': '0.091', 'change_amount': '-0.079', 'change_percentage': '-46.4706%', 'volume': '585365'}","{'ticker': 'ZSL', 'price': '1.72', 'change_amount': '-0.14', 'change_percentage': '-7.5269%', 'volume': '632909562'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'XHLD', 'price': '3.52', 'change_amount': '2.25', 'change_percentage': '177.1654%', 'volume': '135367007'}","{'ticker': 'GAUZ', 'price': '1.0', 'change_amount': '-0.74', 'change_percentage': '-42.5287%', 'volume': '786585'}","{'ticker': 'SAFX', 'price': '0.2993', 'change_amount': '0.1556', 'change_percentage': '108.2811%', 'volume': '405592908'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'SWAGW', 'price': '0.095', 'change_amount': '0.055', 'change_percentage': '137.5%', 'volume': '11885'}","{'ticker': 'EONR+', 'price': '0.0264', 'change_amount': '-0.0177', 'change_percentage': '-40.1361%', 'volume': '16200'}","{'ticker': 'XTKG', 'price': '0.6012', 'change_amount': '0.3342', 'change_percentage': '125.1685%', 'volume': '336458178'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'XTKG', 'price': '0.6012', 'change_amount': '0.3342', 'change_percentage': '125.1685%', 'volume': '336458178'}","{'ticker': 'UOKA', 'price': '1.33', 'change_amount': '-0.89', 'change_percentage': '-40.0901%', 'volume': '261863'}","{'ticker': 'SOXS', 'price': '1.915', 'change_amount': '-0.145', 'change_percentage': '-7.0388%', 'volume': '334243326'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'GITS', 'price': '4.17', 'change_amount': '2.26', 'change_percentage': '118.3246%', 'volume': '51115677'}","{'ticker': 'DOGZ', 'price': '1.62', 'change_amount': '-1.08', 'change_percentage': '-40.0%', 'volume': '9137009'}","{'ticker': 'SLV', 'price': '101.55', 'change_amount': '3.21', 'change_percentage': '3.2642%', 'volume': '209733287'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'SAFX', 'price': '0.2993', 'change_amount': '0.1556', 'change_percentage': '108.2811%', 'volume': '405592908'}","{'ticker': 'AVX', 'price': '1.04', 'change_amount': '-0.69', 'change_percentage': '-39.8844%', 'volume': '8954554'}","{'ticker': 'RR', 'price': '5.51', 'change_amount': '1.7', 'change_percentage': '44.6194%', 'volume': '171909772'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'NUWE', 'price': '3.83', 'change_amount': '1.68', 'change_percentage': '78.1395%', 'volume': '112788634'}","{'ticker': 'UNHG', 'price': '11.43', 'change_amount': '-7.33', 'change_percentage': '-39.0725%', 'volume': '25058083'}","{'ticker': 'SXTC', 'price': '0.1019', 'change_amount': '0.0197', 'change_percentage': '23.9659%', 'volume': '145037622'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'FLGC', 'price': '10.97', 'change_amount': '4.65', 'change_percentage': '73.5759%', 'volume': '1729003'}","{'ticker': 'TWNP', 'price': '0.35', 'change_amount': '-0.1808', 'change_percentage': '-34.0618%', 'volume': '1562594'}","{'ticker': 'NVDA', 'price': '188.52', 'change_amount': '2.05', 'change_percentage': '1.0994%', 'volume': '138322115'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'PHGE', 'price': '6.89', 'change_amount': '2.79', 'change_percentage': '68.0488%', 'volume': '37485211'}","{'ticker': 'FAT', 'price': '0.26', 'change_amount': '-0.132', 'change_percentage': '-33.6735%', 'volume': '3094255'}","{'ticker': 'XHLD', 'price': '3.52', 'change_amount': '2.25', 'change_percentage': '177.1654%', 'volume': '135367007'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'ZNB', 'price': '0.9901', 'change_amount': '0.3808', 'change_percentage': '62.4979%', 'volume': '11087046'}","{'ticker': 'FATBP', 'price': '0.7001', 'change_amount': '-0.3299', 'change_percentage': '-32.0291%', 'volume': '113363'}","{'ticker': 'INTC', 'price': '43.93', 'change_amount': '1.44', 'change_percentage': '3.389%', 'volume': '115116082'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'HSCSW', 'price': '0.13', 'change_amount': '0.0471', 'change_percentage': '56.8154%', 'volume': '1'}","{'ticker': 'CRDF', 'price': '2.0', 'change_amount': '-0.94', 'change_percentage': '-31.9728%', 'volume': '11154192'}","{'ticker': 'NUWE', 'price': '3.83', 'change_amount': '1.68', 'change_percentage': '78.1395%', 'volume': '112788634'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'MRNO', 'price': '1.36', 'change_amount': '0.4899', 'change_percentage': '56.3039%', 'volume': '20602228'}","{'ticker': 'PGACR', 'price': '0.1767', 'change_amount': '-0.083', 'change_percentage': '-31.96%', 'volume': '69659'}","{'ticker': 'DUST', 'price': '4.49', 'change_amount': '-0.16', 'change_percentage': '-3.4409%', 'volume': '102177811'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'HLLY+', 'price': '0.1526', 'change_amount': '0.0526', 'change_percentage': '52.6%', 'volume': '3801'}","{'ticker': 'CVLT', 'price': '89.13', 'change_amount': '-40.23', 'change_percentage': '-31.0993%', 'volume': '6100581'}","{'ticker': 'AAL', 'price': '13.55', 'change_amount': '-1.02', 'change_percentage': '-7.0007%', 'volume': '101406334'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'NVNIW', 'price': '0.075', 'change_amount': '0.025', 'change_percentage': '50.0%', 'volume': '8643'}","{'ticker': 'PBMWW', 'price': '0.0151', 'change_amount': '-0.0068', 'change_percentage': '-31.0502%', 'volume': '39183'}","{'ticker': 'F', 'price': '13.925', 'change_amount': '0.485', 'change_percentage': '3.6086%', 'volume': '99858931'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'SRZNW', 'price': '0.024', 'change_amount': '0.0079', 'change_percentage': '49.0683%', 'volume': '1400'}","{'ticker': 'BTBDW', 'price': '0.1005', 'change_amount': '-0.0435', 'change_percentage': '-30.2083%', 'volume': '538'}","{'ticker': 'TZA', 'price': '6.045', 'change_amount': '-0.055', 'change_percentage': '-0.9016%', 'volume': '94512027'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'LVROW', 'price': '0.0298', 'change_amount': '0.0097', 'change_percentage': '48.2587%', 'volume': '50813'}","{'ticker': 'IREZ', 'price': '17.7', 'change_amount': '-7.27', 'change_percentage': '-29.1149%', 'volume': '2311583'}","{'ticker': 'RDW', 'price': '14.18', 'change_amount': '3.22', 'change_percentage': '29.3796%', 'volume': '94350049'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'RR', 'price': '5.51', 'change_amount': '1.7', 'change_percentage': '44.6194%', 'volume': '171909772'}","{'ticker': 'APLZ', 'price': '16.24', 'change_amount': '-6.57', 'change_percentage': '-28.8032%', 'volume': '502477'}","{'ticker': 'PLUG', 'price': '2.41', 'change_amount': '0.11', 'change_percentage': '4.7826%', 'volume': '94223216'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'ROMA', 'price': '3.97', 'change_amount': '1.22', 'change_percentage': '44.3636%', 'volume': '823085'}","{'ticker': 'FVNNR', 'price': '0.1354', 'change_amount': '-0.0546', 'change_percentage': '-28.7368%', 'volume': '96903'}","{'ticker': 'ONDS', 'price': '12.26', 'change_amount': '1.1', 'change_percentage': '9.8566%', 'volume': '92027591'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'ONEG', 'price': '4.7', 'change_amount': '1.43', 'change_percentage': '43.7309%', 'volume': '948938'}","{'ticker': 'BGLWW', 'price': '0.2801', 'change_amount': '-0.1074', 'change_percentage': '-27.7161%', 'volume': '115726'}","{'ticker': 'BBAI', 'price': '6.155', 'change_amount': '0.435', 'change_percentage': '7.6049%', 'volume': '91713215'}"
"Top gainers, losers, and most actively traded US tickers",2026-01-27 16:15:56 US/Eastern,"{'ticker': 'SATLW', 'price': '1.45', 'change_amount': '0.44', 'change_percentage': '43.5644%', 'volume': '192308'}","{'ticker': 'NBY', 'price': '2.28', 'change_amount': '-0.87', 'change_percentage': '-27.619%', 'volume': '4648337'}","{'ticker': 'KVUE', 'price': '17.5', 'change_amount': '-0.14', 'change_percentage': '-0.7937%', 'volume': '78708679'}"
