ticker,price,change_amount,change_percentage,volume
TIRX,1.32,0.999,311.215%,387371702
FEED,2.3,1.25,119.0476%,270463327
MRNOW,0.13,0.0551,73.5648%,471218
AIMDW,0.16,0.065,68.4211%,16981
NXPLW,0.1,0.039,63.9344%,117
LNKS,0.7697,0.2897,60.3542%,22696453
LFACW,0.48,0.18,60.0%,153375
EZRAW,0.0054,0.002,58.8235%,17652
PCTTU,13.5,4.77,54.6392%,264
SBFMW,0.1784,0.0573,47.3163%,2800
COCHW,0.0582,0.0182,45.5%,17007
SLGB,2.87,0.86,42.7861%,41917301
LTRYW,0.0115,0.0034,41.9753%,120267
SEGG,1.91,0.56,41.4815%,18311168
DSX+,0.273,0.073,36.5%,91257
NAMM,6.4187,1.7087,36.2781%,31314815
ONMDW,0.1376,0.0366,36.2376%,13698
BKYI,0.7347,0.1867,34.0693%,174221406
DAICW,0.0495,0.0124,33.4232%,4220
PCLA,6.48,1.6,32.7869%,380667
