ticker,price,change_amount,change_percentage,volume
CALC,1.25,-3.82,-75.3452%,44850918
MSGY,2.05,-4.21,-67.2524%,12105467
SQFTP,5.01,-8.1,-61.7849%,158239
VTIX,10.67,-13.72,-56.2526%,516764
LMND+,0.0053,-0.0046,-46.4646%,34225
VENU,5.13,-3.46,-40.2794%,1446224
AUUDW,0.0059,-0.0039,-39.7959%,400
SABSW,0.0302,-0.0199,-39.7206%,6000
SAFX,0.1881,-0.1112,-37.1534%,43598235
FATBB,0.6365,-0.3735,-36.9802%,51091
INVZW,0.0059,-0.0033,-35.8696%,67449
NUVB+,0.0386,-0.0214,-35.6667%,76507
AGPU,3.37,-1.67,-33.1349%,266906
SXTC,0.069,-0.0329,-32.2866%,45639958
MKDWW,0.0124,-0.0057,-31.4917%,1000
HSCSW,0.0903,-0.0397,-30.5385%,526
SXTPW,0.0561,-0.0239,-29.875%,3955
CVNX,23.013,-9.6192,-29.4776%,482091
FEAM,2.26,-0.92,-28.9308%,1070098
FATBP,0.5,-0.2001,-28.5816%,96329
